query_id,query_text,query_variant,query_topics,query_countries,query_time_collection_years,query_time_display,source_dataset_id,source_title,source_doi,source_portal_url,source_row
45,"Can you find datasets related to [[""HISTORY""]] in [[""Historical German lands (-1871)"", ""German Reich (1871-1945)"", ""Germany""]] during the [1850s and 1860s and 1870s and 1880s and 1890s and 1900s and 1910s and 1920s and 1930s and 1940s and 1950s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""HISTORY""]","[""Historical German lands (-1871)"", ""German Reich (1871-1945)"", ""Germany""]","[""1850"", ""1959""]",1850s and 1860s and 1870s and 1880s and 1890s and 1900s and 1910s and 1920s and 1930s and 1940s and 1950s,ZA8256,The Growth of the German Economy since the Middle of the 19th Century. Chapter: Population and Employment,"[""10.4232/1.8256""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8256&db=D,50
46,"Can you find datasets related to [[""Community, urban and rural life""]] in [[""North Rhine-Westphalia""]] during the [1960s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Community, urban and rural life""]","[""North Rhine-Westphalia""]","[""1963"", ""1963""]",1960s,ZA0167,Social Structure in the Lignite Area West of the Rhine (Relocated Villages),"[""10.4232/1.0167""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0167&db=D,51
47,"Can you find datasets related to [[""Employment"", ""Vocational education and training"", ""Higher and further education"", ""Social conditions and indicators"", ""Family life and marriage""]] in [[""North Rhine-Westphalia""]] during the [1980s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Employment"", ""Vocational education and training"", ""Higher and further education"", ""Social conditions and indicators"", ""Family life and marriage""]","[""North Rhine-Westphalia""]","[""1984"", ""1985""]",1980s,ZA1441,Education and Life,"[""10.4232/1.1441""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1441&db=D,52
48,"Can you find datasets related to [[""parliamentary debate"", ""Croatia""]] in [[""Croatia""]] during the [2000s and 2010s and 2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""parliamentary debate"", ""Croatia""]","[""Croatia""]","[""2003"", ""2020""]",2000s and 2010s and 2020s,SDN-10.7802-2388,CROCorp: Corpus of Parliamentary Debates in Croatia,[],https://data.gesis.org/sharing/#!Detail/10.7802/2388,53
49,"Can you find datasets related to [[""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Political ideology""]] in [[""Germany""]] during the [2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Political ideology""]","[""Germany""]","[""2024"", ""2024""]",2020s,ZA8738,Crisis Monitor (Week 8/2024),"[""10.4232/1.14353""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8738&db=D,54
50,"Can you find datasets related to [[""Higher and further education"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]] in [[""Germany""]] during the [1960s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Higher and further education"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]","[""Germany""]","[""1968"", ""1968""]",1960s,ZA0322,Attitude to Demonstrations and to the SDS,"[""10.4232/1.0322""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0322&db=D,55
51,"Can you find datasets related to [[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""]] in [[""German Democratic Republic (1949-1990)""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""]","[""German Democratic Republic (1949-1990)""]","[""1990"", ""1990""]",1990s,ZA6146,Partners III - Apprentices 1990,"[""10.4232/1.6146""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6146&db=D,56
52,"Can you find datasets related to [[""Political behaviour and attitudes"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Minorities"", ""Equality, inequality and social exclusion"", ""Cultural and national identity""]] in [[""Germany""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Political behaviour and attitudes"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Minorities"", ""Equality, inequality and social exclusion"", ""Cultural and national identity""]","[""Germany""]","[""2010"", ""2010""]",2010s,ZA5575,Group-oriented animosity against people (GMF-Survey 2010),"[""10.4232/1.11806""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5575&db=D,58
53,"Can you find datasets related to [[""Diet and nutrition"", ""General health and well-being"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions""]] in [[""German Democratic Republic (1949-1990)""]] during the [1980s and 1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Diet and nutrition"", ""General health and well-being"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions""]","[""German Democratic Republic (1949-1990)""]","[""1987"", ""1991""]",1980s and 1990s,ZA6563,Schoolchildren Interval Study Health Education and Maintaining  Health 1987 to 1991 (Waves 1 to 3),"[""10.4232/1.6563""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6563&db=D,59
54,"Can you find datasets related to [[""Government, political systems and organisations"", ""International politics and organisations"", ""Political behaviour and attitudes""]] in [[""Germany""]] during the [2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Government, political systems and organisations"", ""International politics and organisations"", ""Political behaviour and attitudes""]","[""Germany""]","[""2024"", ""2024""]",2020s,ZA8737,Social and Political Attitudes 2024 (Cumulated Data Set),"[""10.4232/1.14533"", ""10.4232/1.14473"", ""10.4232/1.14449"", ""10.4232/1.14352""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8737&db=D,60
55,"Can you find datasets related to [[""Employment"", ""Business/industrial management and organisation"", ""PSYCHOLOGY""]] in [[""Germany""]] during the [2000s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Employment"", ""Business/industrial management and organisation"", ""PSYCHOLOGY""]","[""Germany""]","[""2002"", ""2003""]",2000s,ZA4659,"Personality, Motives, and Human Capital as Explanations for Business Success","[""10.4232/1.4659""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4659&db=D,62
56,"Can you find datasets related to [[""digitalization"", ""telecommuting"", ""workaholism"", ""job performance""]] in [[""Germany""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""digitalization"", ""telecommuting"", ""workaholism"", ""job performance""]","[""Germany""]","[""2017"", ""2018""]",2010s,SDN-10.7802-2567,Code/Syntax: Homeoffice und suchthaftes Arbeiten in Deutschland,[],https://data.gesis.org/sharing/#!Detail/10.7802/2567,63
57,"Can you find datasets related to [[""Leisure, tourism and sport"", ""Youth""]] in [[""Germany""]] during the [1960s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Leisure, tourism and sport"", ""Youth""]","[""Germany""]","[""1966"", ""1966""]",1960s,ZA0527,Young People in Organized Leisure Time,"[""10.4232/1.0527""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0527&db=D,64
58,"Can you find datasets related to [[""Political behaviour and attitudes"", ""Elections""]] in [[""Saarland""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Political behaviour and attitudes"", ""Elections""]","[""Saarland""]","[""2012"", ""2012""]",2010s,ZA5642,State Election in Saarland 2012,"[""10.4232/1.13078"", ""10.4232/1.11826""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5642&db=D,66
59,"Can you find datasets related to [[""Higher and further education"", ""Media"", ""International politics and organisations"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS""]] in [[""Germany""]] during the [1960s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Higher and further education"", ""Media"", ""International politics and organisations"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS""]","[""Germany""]","[""1964"", ""1965""]",1960s,ZA3331,Opinions and Values of Egyptian Students in West Germany,"[""10.4232/1.3331""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3331&db=D,67
60,"Can you find datasets related to [[""protest movement"", ""agricultural policy"", ""nutrition policy""]] in [[""Germany"", ""Berlin""]] during the [2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""protest movement"", ""agricultural policy"", ""nutrition policy""]","[""Germany"", ""Berlin""]","[""2024"", ""2024""]",2020s,SDN-10.7802-2783,"Food for Justice: Power, Politics, and Food Inequalities in a Bioeconomy (Berlin, 2024)",[],https://data.gesis.org/sharing/#!Detail/10.7802/2783,68
61,"Can you find datasets related to [[""Consumption and consumer behaviour""]] in [[""Germany""]] during the [1980s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Consumption and consumer behaviour""]","[""Germany""]","[""1984"", ""1987""]",1980s,ZA1639,Consumer Analysis 87,"[""10.4232/1.1639""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1639&db=D,70
62,"Can you find datasets related to [[""Employment"", ""Leisure, tourism and sport"", ""Community, urban and rural life"", ""Housing""]] in [[""German Democratic Republic (1949-1990)""]] during the [1980s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Employment"", ""Leisure, tourism and sport"", ""Community, urban and rural life"", ""Housing""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1988""]",1980s,ZA6363,Sociological Investigation - Jena 1988,"[""10.4232/1.6363""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6363&db=D,71
63,"Can you find datasets related to [[""Social behaviour and attitudes"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Family life and marriage""]] in [[""Australia"", ""Austria"", ""Brazil"", ""Canada"", ""Chile"", ""Cyprus"", ""Czech Republic"", ""Denmark"", ""Finland"", ""France"", ""Germany"", ""Great Britain"", ""Hungary"", ""Israel"", ""Italy"", ""Japan"", ""Latvia"", ""New Zealand"", ""Northern Ireland"", ""Norway"", ""Philippines"", ""Poland"", ""Russian Federation"", ""Slovenia"", ""Spain"", ""South Africa"", ""Switzerland"", ""United States of America""]] during the [2000s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Social behaviour and attitudes"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Family life and marriage""]","[""Australia"", ""Austria"", ""Brazil"", ""Canada"", ""Chile"", ""Cyprus"", ""Czech Republic"", ""Denmark"", ""Finland"", ""France"", ""Germany"", ""Great Britain"", ""Hungary"", ""Israel"", ""Italy"", ""Japan"", ""Latvia"", ""New Zealand"", ""Northern Ireland"", ""Norway"", ""Philippines"", ""Poland"", ""Russian Federation"", ""Slovenia"", ""Spain"", ""South Africa"", ""Switzerland"", ""United States of America""]","[""2000"", ""2002""]",2000s,ZA3680,International Social Survey Programme: Social Relations and Support Systems - ISSP 2001,"[""10.4232/1.3680""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3680&db=D,72
64,"Can you find datasets related to [[""Media"", ""Language and linguistics""]] in [[""Belgium"", ""Germany"", ""Spain"", ""Greece"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Finland"", ""Slovenia"", ""Cyprus"", ""Malta"", ""Slovakia"", ""Bulgaria"", ""Czech Republic"", ""Denmark"", ""Estonia"", ""Latvia"", ""Hungary"", ""Poland"", ""Romania"", ""Sweden"", ""United Kingdom"", ""Lithuania""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Media"", ""Language and linguistics""]","[""Belgium"", ""Germany"", ""Spain"", ""Greece"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Finland"", ""Slovenia"", ""Cyprus"", ""Malta"", ""Slovakia"", ""Bulgaria"", ""Czech Republic"", ""Denmark"", ""Estonia"", ""Latvia"", ""Hungary"", ""Poland"", ""Romania"", ""Sweden"", ""United Kingdom"", ""Lithuania""]","[""2011"", ""2011""]",2010s,ZA5473,Flash Eurobarometer 313 (User Language Preferences Online),"[""10.4232/1.10730""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5473&db=D,73
65,"Can you find datasets related to [[""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion""]] in [[""Germany""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion""]","[""Germany""]","[""1995"", ""1995""]",1990s,ZA2820,Political Resonance 1995,"[""10.4232/1.14201"", ""10.4232/1.2820""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2820&db=D,74
66,"Can you find datasets related to [[""Religion and values""]] in [[""Algeria"", ""Ghana"", ""Indonesia"", ""Jordan"", ""Kenya"", ""Cambodia"", ""Sri Lanka"", ""Mongolia"", ""Malawi"", ""Malaysia"", ""Nigeria"", ""Nepal"", ""Singapore"", ""Viet Nam""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Religion and values""]","[""Algeria"", ""Ghana"", ""Indonesia"", ""Jordan"", ""Kenya"", ""Cambodia"", ""Sri Lanka"", ""Mongolia"", ""Malawi"", ""Malaysia"", ""Nigeria"", ""Nepal"", ""Singapore"", ""Viet Nam""]","[""2018"", ""2019""]",2010s,ZA7630,Based on ISSP 2018: A Cross-national and Comparative Study of Religion of Additional 14 Countries,"[""10.4232/1.13517""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7630&db=D,75
67,"Can you find datasets related to [[""International politics and organisations"", ""Conflict, security and peace""]] in [[""France"", ""Great Britain"", ""Germany"", ""Italy""]] during the [1960s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""International politics and organisations"", ""Conflict, security and peace""]","[""France"", ""Great Britain"", ""Germany"", ""Italy""]","[""1963"", ""1963""]",1960s,ZA1976,International Relations (February 1963),"[""10.4232/1.1976""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1976&db=D,76
68,"Can you find datasets related to [[""LAW, CRIME AND LEGAL SYSTEMS"", ""Crime and law enforcement"", ""International politics and organisations""]] in [[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Croatia""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""LAW, CRIME AND LEGAL SYSTEMS"", ""Crime and law enforcement"", ""International politics and organisations""]","[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Croatia""]","[""2013"", ""2013""]",2010s,ZA5897,Flash Eurobarometer 383 (Firearms in the European Union),"[""10.4232/1.11958""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5897&db=D,77
69,"Can you find datasets related to [[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]] in [[""Czech Republic""]] during the [2000s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Czech Republic""]","[""2000"", ""2000""]",2000s,ZA3891,Party Preferences Czech Republic 2000 (Trend),"[""10.4232/1.3891""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3891&db=D,78
70,"Can you find datasets related to [[""Cultural and national identity"", ""Minorities"", ""International politics and organisations"", ""Migration""]] in [[""Netherlands""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Cultural and national identity"", ""Minorities"", ""International politics and organisations"", ""Migration""]","[""Netherlands""]","[""2014"", ""2014""]",2010s,ZA5517,International Social Survey Programme: National Identity III - ISSP 2013 (Netherlands),"[""10.4232/1.12921""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5517&db=D,79
71,"Can you find datasets related to [[""HISTORY""]] in [[""German Reich (1871-1945)""]] during the [1920s and 1930s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""HISTORY""]","[""German Reich (1871-1945)""]","[""1925"", ""1932""]",1920s and 1930s,ZA8080,The Reichstag Elections and Reich Presidential Elections in Kiel 1925-1932,"[""10.4232/1.8080""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8080&db=D,80
72,"Can you find datasets related to [[""International politics and organisations"", ""Conflict, security and peace"", ""Government, political systems and organisations"", ""Economic systems and development""]] in [[""Germany""]] during the [1980s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""International politics and organisations"", ""Conflict, security and peace"", ""Government, political systems and organisations"", ""Economic systems and development""]","[""Germany""]","[""1982"", ""1982""]",1980s,ZA1853,Attitudes to Security Policy in the Federal Republic (November - December 1982),"[""10.4232/1.1853""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1853&db=D,81
73,"Can you find datasets related to [[""Crime and law enforcement"", ""Legislation and legal systems"", ""PSYCHOLOGY"", ""Family life and marriage"", ""Community, urban and rural life"", ""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Time use"", ""Vocational education and training"", ""Employment""]] in [[""Duisburg""]] during the [2000s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Crime and law enforcement"", ""Legislation and legal systems"", ""PSYCHOLOGY"", ""Family life and marriage"", ""Community, urban and rural life"", ""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Time use"", ""Vocational education and training"", ""Employment""]","[""Duisburg""]","[""2007"", ""2007""]",2000s,ZA8859,Crime in the Modern City 2007,"[""10.4232/1.14600""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8859&db=D,82
74,"Can you find datasets related to [[""Social behaviour and attitudes"", ""Media"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic policy, public expenditure and revenue"", ""Economic systems and development""]] in [[""Germany""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Social behaviour and attitudes"", ""Media"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic policy, public expenditure and revenue"", ""Economic systems and development""]","[""Germany""]","[""2015"", ""2015""]",2010s,ZA5727,"Long-term Online Tracking, T27 (GLES)","[""10.4232/1.12282"", ""10.4232/1.12213""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5727&db=D,84
75,"Can you find datasets related to [[""Higher and further education"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes""]] in [[""Uruguay""]] during the [1960s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Higher and further education"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes""]","[""Uruguay""]","[""1966"", ""1966""]",1960s,ZA0401,Comparative National Development Project (Uruguay),"[""10.4232/1.0401""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0401&db=D,85
76,"Can you find datasets related to [[""Political behaviour and attitudes"", ""Government, political systems and organisations""]] in [[""Turkey""]] during the [2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Political behaviour and attitudes"", ""Government, political systems and organisations""]","[""Turkey""]","[""2017"", ""2017""]",2010s,ZA5520,International Social Survey Programme: Work Orientations IV - ISSP 2015 (Turkey),"[""10.4232/1.13059""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5520&db=D,86
77,"Can you find datasets related to [[""Religion and values"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Family life and marriage"", ""Economic systems and development""]] in [[""United Kingdom""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Religion and values"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Family life and marriage"", ""Economic systems and development""]","[""United Kingdom""]","[""1999"", ""1999""]",1990s,ZA3777,EVS - European Values Study 1999 - Great Britain,"[""10.4232/1.11535"", ""10.4232/1.3777"", ""10.4232/1.11172""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3777&db=D,87
78,"Can you find datasets related to [[""Social conditions and indicators"", ""Youth""]] in [[""Germany""]] during the [1980s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Social conditions and indicators"", ""Youth""]","[""Germany""]","[""1984"", ""1984""]",1980s,ZA1439,Young People and Adults '85 (Adult),"[""10.4232/1.1439""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1439&db=D,88
79,"Can you find datasets related to [[""Economic systems and development""]] in [[""Malta""]] during the [2000s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Economic systems and development""]","[""Malta""]","[""2008"", ""2008""]",2000s,ZA4809,Flash Eurobarometer 223 (Euro Introduction in Malta),"[""10.4232/1.4809""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4809&db=D,89
80,"Can you find datasets related to [[""HISTORY""]] in [[""German Reich (1871-1945)""]] during the [1910s and 1920s and 1930s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""HISTORY""]","[""German Reich (1871-1945)""]","[""1919"", ""1933""]",1910s and 1920s and 1930s,ZA8007,Representatives in the Reichstag in the Weimar Republic 1919-1933,"[""10.4232/1.8007""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8007&db=D,92
81,"Can you find datasets related to [[""Social behaviour and attitudes"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions"", ""Language and linguistics"", ""International politics and organisations"", ""Political behaviour and attitudes""]] in [[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Portugal"", ""Great Britain"", ""Northern Ireland"", ""Austria"", ""Sweden"", ""Finland""]] during the [1990s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Social behaviour and attitudes"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions"", ""Language and linguistics"", ""International politics and organisations"", ""Political behaviour and attitudes""]","[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Portugal"", ""Great Britain"", ""Northern Ireland"", ""Austria"", ""Sweden"", ""Finland""]","[""1997"", ""1997""]",1990s,ZA2937,Eurobarometer 47.2 (Apr-Jun 1997),"[""10.4232/1.10927"", ""10.4232/1.2937""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2937&db=D,94
82,"Can you find datasets related to [[""Employment"", ""TRADE, INDUSTRY AND MARKETS""]] in [[""North Rhine-Westphalia""]] during the [1960s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Employment"", ""TRADE, INDUSTRY AND MARKETS""]","[""North Rhine-Westphalia""]","[""1962"", ""1962""]",1960s,ZA0418,Shoemakers,"[""10.4232/1.0418""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0418&db=D,95
83,"Can you find datasets related to [[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]] in [[""Germany""]] during the [2020s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Germany""]","[""2022"", ""2022""]",2020s,ZA7711,"GLES Tracking October 2022, T53","[""10.4232/1.14036""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7711&db=D,96
84,"Can you find datasets related to [[""Medication and treatment"", ""Specific diseases, disorders and medical conditions""]] in [[""Rhineland-Palatinate""]] during the [2000s and 2010s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Medication and treatment"", ""Specific diseases, disorders and medical conditions""]","[""Rhineland-Palatinate""]","[""2006"", ""2010""]",2000s and 2010s,ZA5533,Prevention Survey Rhineland-Palatinate (2006 and 2010),"[""10.4232/1.13342""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5533&db=D,99
85,"Can you find datasets related to [[""Employment"", ""Cultural activities and participation"", ""Specific diseases, disorders and medical conditions"", ""Media"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Family life and marriage"", ""Youth""]] in [[""German Democratic Republic (1949-1990)""]] during the [1970s]?",V1_TOPIC_COUNTRY_TIME_ALL_TOPICS,"[""Employment"", ""Cultural activities and participation"", ""Specific diseases, disorders and medical conditions"", ""Media"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Family life and marriage"", ""Youth""]","[""German Democratic Republic (1949-1990)""]","[""1970"", ""1970""]",1970s,ZA6151,Interval Study: Development Factors and Development Forms of  Young People in the GDR (1968-1980) IS I - 1970 (3rd Wave),"[""10.4232/1.6151""]",https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6151&db=D,100
