query_id,query_variant,source_dataset_id,source_title,query_text,query_topics,query_countries,query_time_collection_years,relevant_dataset_id,relevant_title,relevant_topic,relevant_country,relevant_time_collection_years
68,V3_TITLE_ONLY,SDN-10.7802-2882,"Code/Syntax: Socio-Economic Status, Comparisons of Subjective Affectedness and Life Satisfaction During the COVID-19 Pandemic in Germany","Can you find the dataset titled [Code/Syntax: Socio-Economic Status, Comparisons of Subjective Affectedness and Life Satisfaction During the COVID-19 Pandemic in Germany]?",nan,nan,nan,SDN-10.7802-2882,"Code/Syntax: Socio-Economic Status, Comparisons of Subjective Affectedness and Life Satisfaction During the COVID-19 Pandemic in Germany","[""affectedness"", ""epidemic"", ""comparison"", ""reference group"", ""social status"", ""satisfaction with life""]","[""Germany""]",
69,V3_TITLE_ONLY,ZA1639,Consumer Analysis 87,Can you find the dataset titled [Consumer Analysis 87]?,nan,nan,nan,ZA1639,Consumer Analysis 87,"[""Consumption and consumer behaviour""]","[""Germany""]","[""1984"", ""1987""]"
70,V3_TITLE_ONLY,ZA6363,Sociological Investigation - Jena 1988,Can you find the dataset titled [Sociological Investigation - Jena 1988]?,nan,nan,nan,ZA6363,Sociological Investigation - Jena 1988,"[""Employment"", ""Leisure, tourism and sport"", ""Community, urban and rural life"", ""Housing""]","[""German Democratic Republic (1949-1990)""]","[""1988"", ""1988""]"
71,V3_TITLE_ONLY,ZA3680,International Social Survey Programme: Social Relations and Support Systems - ISSP 2001,Can you find the dataset titled [International Social Survey Programme: Social Relations and Support Systems - ISSP 2001]?,nan,nan,nan,ZA3680,International Social Survey Programme: Social Relations and Support Systems - ISSP 2001,"[""Social behaviour and attitudes"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Family life and marriage""]","[""Australia"", ""Austria"", ""Brazil"", ""Canada"", ""Chile"", ""Cyprus"", ""Czech Republic"", ""Denmark"", ""Finland"", ""France"", ""Germany"", ""Great Britain"", ""Hungary"", ""Israel"", ""Italy"", ""Japan"", ""Latvia"", ""New Zealand"", ""Northern Ireland"", ""Norway"", ""Philippines"", ""Poland"", ""Russian Federation"", ""Slovenia"", ""Spain"", ""South Africa"", ""Switzerland"", ""United States of America""]","[""2000"", ""2002""]"
72,V3_TITLE_ONLY,ZA5473,Flash Eurobarometer 313 (User Language Preferences Online),Can you find the dataset titled [Flash Eurobarometer 313 (User Language Preferences Online)]?,nan,nan,nan,ZA5473,Flash Eurobarometer 313 (User Language Preferences Online),"[""Media"", ""Language and linguistics""]","[""Belgium"", ""Germany"", ""Spain"", ""Greece"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Finland"", ""Slovenia"", ""Cyprus"", ""Malta"", ""Slovakia"", ""Bulgaria"", ""Czech Republic"", ""Denmark"", ""Estonia"", ""Latvia"", ""Hungary"", ""Poland"", ""Romania"", ""Sweden"", ""United Kingdom"", ""Lithuania""]","[""2011"", ""2011""]"
73,V3_TITLE_ONLY,ZA2820,Political Resonance 1995,Can you find the dataset titled [Political Resonance 1995]?,nan,nan,nan,ZA2820,Political Resonance 1995,"[""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Equality, inequality and social exclusion""]","[""Germany""]","[""1995"", ""1995""]"
74,V3_TITLE_ONLY,ZA7630,Based on ISSP 2018: A Cross-national and Comparative Study of Religion of Additional 14 Countries,Can you find the dataset titled [Based on ISSP 2018: A Cross-national and Comparative Study of Religion of Additional 14 Countries]?,nan,nan,nan,ZA7630,Based on ISSP 2018: A Cross-national and Comparative Study of Religion of Additional 14 Countries,"[""Religion and values""]","[""Algeria"", ""Ghana"", ""Indonesia"", ""Jordan"", ""Kenya"", ""Cambodia"", ""Sri Lanka"", ""Mongolia"", ""Malawi"", ""Malaysia"", ""Nigeria"", ""Nepal"", ""Singapore"", ""Viet Nam""]","[""2018"", ""2019""]"
75,V3_TITLE_ONLY,ZA1976,International Relations (February 1963),Can you find the dataset titled [International Relations (February 1963)]?,nan,nan,nan,ZA1976,International Relations (February 1963),"[""International politics and organisations"", ""Conflict, security and peace""]","[""France"", ""Great Britain"", ""Germany"", ""Italy""]","[""1963"", ""1963""]"
76,V3_TITLE_ONLY,ZA5897,Flash Eurobarometer 383 (Firearms in the European Union),Can you find the dataset titled [Flash Eurobarometer 383 (Firearms in the European Union)]?,nan,nan,nan,ZA5897,Flash Eurobarometer 383 (Firearms in the European Union),"[""LAW, CRIME AND LEGAL SYSTEMS"", ""Crime and law enforcement"", ""International politics and organisations""]","[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Croatia""]","[""2013"", ""2013""]"
77,V3_TITLE_ONLY,ZA3891,Party Preferences Czech Republic 2000 (Trend),Can you find the dataset titled [Party Preferences Czech Republic 2000 (Trend)]?,nan,nan,nan,ZA3891,Party Preferences Czech Republic 2000 (Trend),"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Czech Republic""]","[""2000"", ""2000""]"
78,V3_TITLE_ONLY,ZA5517,International Social Survey Programme: National Identity III - ISSP 2013 (Netherlands),Can you find the dataset titled [International Social Survey Programme: National Identity III - ISSP 2013 (Netherlands)]?,nan,nan,nan,ZA5517,International Social Survey Programme: National Identity III - ISSP 2013 (Netherlands),"[""Cultural and national identity"", ""Minorities"", ""International politics and organisations"", ""Migration""]","[""Netherlands""]","[""2014"", ""2014""]"
79,V3_TITLE_ONLY,ZA8080,The Reichstag Elections and Reich Presidential Elections in Kiel 1925-1932,Can you find the dataset titled [The Reichstag Elections and Reich Presidential Elections in Kiel 1925-1932]?,nan,nan,nan,ZA8080,The Reichstag Elections and Reich Presidential Elections in Kiel 1925-1932,"[""HISTORY""]","[""German Reich (1871-1945)""]","[""1925"", ""1932""]"
80,V3_TITLE_ONLY,ZA1853,Attitudes to Security Policy in the Federal Republic (November - December 1982),Can you find the dataset titled [Attitudes to Security Policy in the Federal Republic (November - December 1982)]?,nan,nan,nan,ZA1853,Attitudes to Security Policy in the Federal Republic (November - December 1982),"[""International politics and organisations"", ""Conflict, security and peace"", ""Government, political systems and organisations"", ""Economic systems and development""]","[""Germany""]","[""1982"", ""1982""]"
81,V3_TITLE_ONLY,ZA8859,Crime in the Modern City 2007,Can you find the dataset titled [Crime in the Modern City 2007]?,nan,nan,nan,ZA8859,Crime in the Modern City 2007,"[""Crime and law enforcement"", ""Legislation and legal systems"", ""PSYCHOLOGY"", ""Family life and marriage"", ""Community, urban and rural life"", ""Leisure, tourism and sport"", ""Social behaviour and attitudes"", ""Time use"", ""Vocational education and training"", ""Employment""]","[""Duisburg""]","[""2007"", ""2007""]"
82,V3_TITLE_ONLY,missy-mz-1998,MZ 1998,Can you find the dataset titled [MZ 1998]?,nan,nan,nan,missy-mz-1998,MZ 1998,[],,
83,V3_TITLE_ONLY,ZA5727,"Long-term Online Tracking, T27 (GLES)","Can you find the dataset titled [Long-term Online Tracking, T27 (GLES)]?",nan,nan,nan,ZA5727,"Long-term Online Tracking, T27 (GLES)","[""Social behaviour and attitudes"", ""Media"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections"", ""Economic policy,  public expenditure and revenue"", ""Economic systems and development""]","[""Germany""]","[""2015"", ""2015""]"
84,V3_TITLE_ONLY,ZA0401,Comparative National Development Project (Uruguay),Can you find the dataset titled [Comparative National Development Project (Uruguay)]?,nan,nan,nan,ZA0401,Comparative National Development Project (Uruguay),"[""Higher and further education"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes""]","[""Uruguay""]","[""1966"", ""1966""]"
85,V3_TITLE_ONLY,ZA5520,International Social Survey Programme: Work Orientations IV - ISSP 2015 (Turkey),Can you find the dataset titled [International Social Survey Programme: Work Orientations IV - ISSP 2015 (Turkey)]?,nan,nan,nan,ZA5520,International Social Survey Programme: Work Orientations IV - ISSP 2015 (Turkey),"[""Political behaviour and attitudes"", ""Government, political systems and organisations""]","[""Turkey""]","[""2017"", ""2017""]"
86,V3_TITLE_ONLY,ZA3777,EVS - European Values Study 1999 - Great Britain,Can you find the dataset titled [EVS - European Values Study 1999 - Great Britain]?,nan,nan,nan,ZA3777,EVS - European Values Study 1999 - Great Britain,"[""Religion and values"", ""Social behaviour and attitudes"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Family life and marriage"", ""Economic systems and development""]","[""United Kingdom""]","[""1999"", ""1999""]"
87,V3_TITLE_ONLY,ZA1439,Young People and Adults '85 (Adult),Can you find the dataset titled [Young People and Adults '85 (Adult)]?,nan,nan,nan,ZA1439,Young People and Adults '85 (Adult),"[""Social conditions and indicators"", ""Youth""]","[""Germany""]","[""1984"", ""1984""]"
88,V3_TITLE_ONLY,ZA4809,Flash Eurobarometer 223 (Euro Introduction in Malta),Can you find the dataset titled [Flash Eurobarometer 223 (Euro Introduction in Malta)]?,nan,nan,nan,ZA4809,Flash Eurobarometer 223 (Euro Introduction in Malta),"[""Economic systems and development""]","[""Malta""]","[""2008"", ""2008""]"
89,V3_TITLE_ONLY,ZA1529,"Election Study 1987 (Politbarometer, November 1986)","Can you find the dataset titled [Election Study 1987 (Politbarometer, November 1986)]?",nan,nan,nan,ZA1529,"Election Study 1987 (Politbarometer, November 1986)",,,
90,V3_TITLE_ONLY,ZA7226,Sofortresonanzen DDR Fernsehen 21. Woche 1986 (SFR 21/86),Can you find the dataset titled [Sofortresonanzen DDR Fernsehen 21. Woche 1986 (SFR 21/86)]?,nan,nan,nan,ZA7226,Sofortresonanzen DDR Fernsehen 21. Woche 1986 (SFR 21/86),"[""Media""]","[""German Democratic Republic (1949-1990)""]","[""1986"", ""1986""]"
91,V3_TITLE_ONLY,ZA8007,Representatives in the Reichstag in the Weimar Republic 1919-1933,Can you find the dataset titled [Representatives in the Reichstag in the Weimar Republic 1919-1933]?,nan,nan,nan,ZA8007,Representatives in the Reichstag in the Weimar Republic 1919-1933,"[""HISTORY""]","[""German Reich (1871-1945)""]","[""1919"", ""1933""]"
92,V3_TITLE_ONLY,ZA6543,Auditory Participation February 1989 Supplement: „Berliner Luft“,Can you find the dataset titled [Auditory Participation February 1989 Supplement: „Berliner Luft“]?,nan,nan,nan,ZA6543,Auditory Participation February 1989 Supplement: „Berliner Luft“,"[""Media""]","[""German Democratic Republic (1949-1990)""]","[""1989"", ""1989""]"
93,V3_TITLE_ONLY,ZA2937,Eurobarometer 47.2 (Apr-Jun 1997),Can you find the dataset titled [Eurobarometer 47.2 (Apr-Jun 1997)]?,nan,nan,nan,ZA2937,Eurobarometer 47.2 (Apr-Jun 1997),"[""Social behaviour and attitudes"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions"", ""Language and linguistics"", ""International politics and organisations"", ""Political behaviour and attitudes""]","[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Portugal"", ""Great Britain"", ""Northern Ireland"", ""Austria"", ""Sweden"", ""Finland""]","[""1997"", ""1997""]"
94,V3_TITLE_ONLY,ZA0418,Shoemakers,Can you find the dataset titled [Shoemakers]?,nan,nan,nan,ZA0418,Shoemakers,"[""Employment"", ""TRADE, INDUSTRY AND MARKETS""]","[""North Rhine-Westphalia""]","[""1962"", ""1962""]"
95,V3_TITLE_ONLY,ZA7711,"GLES Tracking October 2022, T53","Can you find the dataset titled [GLES Tracking October 2022, T53]?",nan,nan,nan,ZA7711,"GLES Tracking October 2022, T53","[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]","[""Germany""]","[""2022"", ""2022""]"
96,V3_TITLE_ONLY,SDN-10.7802-2341,Datenaufbereitung der MA-IntermediaPlus: Teil 3,Can you find the dataset titled [Datenaufbereitung der MA-IntermediaPlus: Teil 3]?,nan,nan,nan,SDN-10.7802-2341,Datenaufbereitung der MA-IntermediaPlus: Teil 3,"[""mass media"", ""online media"", ""media consumption"", ""digital media"", ""methodology"", ""data preparation"", ""data bank""]",[],
97,V3_TITLE_ONLY,SDN-10.7802-1750,EUvox2014: Voting Advice Application data for the 2014 European Parliament elections,Can you find the dataset titled [EUvox2014: Voting Advice Application data for the 2014 European Parliament elections]?,nan,nan,nan,SDN-10.7802-1750,EUvox2014: Voting Advice Application data for the 2014 European Parliament elections,[],[],"[""2014"", ""2018""]"
98,V3_TITLE_ONLY,ZA5533,Prevention Survey Rhineland-Palatinate (2006 and 2010),Can you find the dataset titled [Prevention Survey Rhineland-Palatinate (2006 and 2010)]?,nan,nan,nan,ZA5533,Prevention Survey Rhineland-Palatinate (2006 and 2010),"[""Medication and treatment"", ""Specific diseases, disorders and medical conditions""]","[""Rhineland-Palatinate""]","[""2006"", ""2010""]"
99,V3_TITLE_ONLY,ZA6151,Interval Study: Development Factors and Development Forms of  Young People in the GDR (1968-1980) IS I - 1970 (3rd Wave),Can you find the dataset titled [Interval Study: Development Factors and Development Forms of Young People in the GDR (1968-1980) IS I - 1970 (3rd Wave)]?,nan,nan,nan,ZA6151,Interval Study: Development Factors and Development Forms of  Young People in the GDR (1968-1980) IS I - 1970 (3rd Wave),"[""Employment"", ""Cultural activities and participation"", ""Specific diseases, disorders and medical conditions"", ""Media"", ""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Family life and marriage"", ""Youth""]","[""German Democratic Republic (1949-1990)""]","[""1970"", ""1970""]"
100,V3_TITLE_ONLY,ZA1922,Politbarometer (February 1990),Can you find the dataset titled [Politbarometer (February 1990)]?,nan,nan,nan,ZA1922,Politbarometer (February 1990),,,
