"query_id";"query_text";"full_prompt_no_web";"full_prompt_web_search";"query_variant";"query_topics";"query_countries";"query_time_collection_years";"query_time_display";"source_dataset_id";"source_title";"source_doi";"source_portal_url";"source_row"
"24";"Can you find the GESIS dataset titled The Death Penalty (1978)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled The Death Penalty (1978)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled The Death Penalty (1978)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA0977";"The Death Penalty (1978)";"[""10.4232/1.0977""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0977&db=D";"25"
"25";"Can you find the GESIS dataset titled Social Situation and Political Orientations of the Jena Populace before the Municipal Election in May 1990?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Social Situation and Political Orientations of the Jena Populace before the Municipal Election in May 1990?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Social Situation and Political Orientations of the Jena Populace before the Municipal Election in May 1990?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA6350";"Social Situation and Political Orientations of the Jena  Populace before the Municipal Election in May 1990";"[""10.4232/1.6350""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6350&db=D";"26"
"26";"Can you find the GESIS dataset titled Decatur Study (Personal Influence)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Decatur Study (Personal Influence)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Decatur Study (Personal Influence)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA0241";"Decatur Study (Personal Influence)";"[""10.4232/1.0241""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0241&db=D";"27"
"27";"Can you find the GESIS dataset titled Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA1635";"Cologne Study (Reader Analysis of the Koelner Stadt-Anzeiger)";"[""10.4232/1.1635""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1635&db=D";"28"
"28";"Can you find the GESIS dataset titled Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills (LPA-AFLEK)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills (LPA-AFLEK)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills (LPA-AFLEK)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA8874";"Learning Progression Analytics - Analysing and Promoting Learning Progressions to Develop Skills (LPA-AFLEK)";"[""10.4232/1.14414""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8874&db=D";"29"
"29";"Can you find the GESIS dataset titled Trend Questions Corona (Week 13/2020)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Trend Questions Corona (Week 13/2020)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Trend Questions Corona (Week 13/2020)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA7652";"Trend Questions Corona (Week 13/2020)";"[""10.4232/1.13581""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7652&db=D";"30"
"30";"Can you find the GESIS dataset titled Preparatory Investigation according to the Law to Promote Urban Development (Municipality Data)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Preparatory Investigation according to the Law to Promote Urban Development (Municipality Data)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Preparatory Investigation according to the Law to Promote Urban Development (Municipality Data)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA1157";"Preparatory Investigation according to the Law to Promote Urban  Development (Municipality Data)";"[""10.4232/1.1157""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1157&db=D";"31"
"31";"Can you find the GESIS dataset titled German Internet Panel, Wave 51 (January 2021)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled German Internet Panel, Wave 51 (January 2021)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled German Internet Panel, Wave 51 (January 2021)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA7759";"German Internet Panel, Wave 51 (January 2021)";"[""10.4232/1.13833"", ""10.4232/1.13773""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7759&db=D";"32"
"32";"Can you find the GESIS dataset titled Forsa-Bus 1992?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Forsa-Bus 1992?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Forsa-Bus 1992?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA3300";"Forsa-Bus 1992";"[""10.4232/1.10247"", ""10.4232/1.3300""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=3300&db=D";"33"
"33";"Can you find the GESIS dataset titled Flash Eurobarometer 550 (EU Challenges and Priorities)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Flash Eurobarometer 550 (EU Challenges and Priorities)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Flash Eurobarometer 550 (EU Challenges and Priorities)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA8870";"Flash Eurobarometer 550 (EU Challenges and Priorities)";"[""10.4232/1.14410""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8870&db=D";"34"
"34";"Can you find the GESIS dataset titled Situation Report Medium-Sized Companies 1991/20?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Situation Report Medium-Sized Companies 1991/20?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Situation Report Medium-Sized Companies 1991/20?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA2326";"Situation Report Medium-Sized Companies 1991/20";"[""10.4232/1.2326""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2326&db=D";"35"
"35";"Can you find the GESIS dataset titled Spring Study 1998?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Spring Study 1998?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Spring Study 1998?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA4914";"Spring Study 1998";"[""10.4232/1.4914""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4914&db=D";"36"
"36";"Can you find the GESIS dataset titled The Berlin Pulse - German Foreign Policy 2024?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled The Berlin Pulse - German Foreign Policy 2024?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled The Berlin Pulse - German Foreign Policy 2024?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA8996";"The Berlin Pulse - German Foreign Policy 2024";"[""10.4232/1.14624""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8996&db=D";"37"
"37";"Can you find the GESIS dataset titled Youth Industrial Health and Safety in Practice in Hesse from the Perspective of Young People?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Youth Industrial Health and Safety in Practice in Hesse from the Perspective of Young People?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Youth Industrial Health and Safety in Practice in Hesse from the Perspective of Young People?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA1376";"Youth Industrial Health and Safety in Practice in Hesse from the Perspective of Young People";"[""10.4232/1.1376""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1376&db=D";"38"
"38";"Can you find the GESIS dataset titled German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA7746";"German Business Panel, Covid-19 Survey (2020/2021). Data file for on-site use";"[""10.4232/1.13731""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7746&db=D";"39"
"39";"Can you find the GESIS dataset titled histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA8614";"histat - data compilation online: Wages and Salaries (Indices) in Germany 1913/14 - 2006";"[""10.4232/1.12403""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8614&db=D";"40"
"40";"Can you find the GESIS dataset titled Flash Eurobarometer 197 (Satisfaction with EC Representations in 11 Member States)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Flash Eurobarometer 197 (Satisfaction with EC Representations in 11 Member States)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Flash Eurobarometer 197 (Satisfaction with EC Representations in 11 Member States)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA4456";"Flash Eurobarometer 197 (Satisfaction with EC Representations in 11 Member States)";"[""10.4232/1.4456""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4456&db=D";"41"
"41";"Can you find the GESIS dataset titled German General Social Survey - ALLBUScompact 2018?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled German General Social Survey - ALLBUScompact 2018?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled German General Social Survey - ALLBUScompact 2018?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA5273";"German General Social Survey - ALLBUScompact 2018";"[""10.4232/1.13331""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5273&db=D";"42"
"42";"Can you find the GESIS dataset titled MEDem User Survey 2024?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled MEDem User Survey 2024?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled MEDem User Survey 2024?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"SDN-10.7802-2839";"MEDem User Survey 2024";"[]";"https://data.gesis.org/sharing/#!Detail/10.7802/2839";"43"
"43";"Can you find the GESIS dataset titled Foreigners in Eastern Germany 1990?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Foreigners in Eastern Germany 1990?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Foreigners in Eastern Germany 1990?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA6342";"Foreigners in Eastern Germany 1990";"[""10.4232/1.6342""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6342&db=D";"44"
"44";"Can you find the GESIS dataset titled Monitor Digitalisierung 360? - WiSe 2023/24?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Monitor Digitalisierung 360? - WiSe 2023/24?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Monitor Digitalisierung 360? - WiSe 2023/24?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"SDN-10.7802-2822";"Monitor Digitalisierung 360? - WiSe 2023/24";"[]";"https://data.gesis.org/sharing/#!Detail/10.7802/2822";"45"
"45";"Can you find the GESIS dataset titled Reader Analysis of the Mannesmann Company Magazine, UNSER WERKTAG?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Reader Analysis of the Mannesmann Company Magazine, UNSER WERKTAG?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Reader Analysis of the Mannesmann Company Magazine, UNSER WERKTAG?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA0265";"Reader Analysis of the Mannesmann Company Magazine, UNSER WERKTAG";"[""10.4232/1.0265""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0265&db=D";"46"
"46";"Can you find the GESIS dataset titled Dataset of Italian Municipal Unions (Intermunicipal Cooperation forms). 1996-2015.?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Dataset of Italian Municipal Unions (Intermunicipal Cooperation forms). 1996-2015.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Dataset of Italian Municipal Unions (Intermunicipal Cooperation forms). 1996-2015.?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"SDN-10.7802-1754";"Dataset of Italian Municipal Unions (Intermunicipal Cooperation forms). 1996-2015.";"[]";"https://data.gesis.org/sharing/#!Detail/10.7802/1754";"47"
"47";"Can you find the GESIS dataset titled Election Study 1994: Politbarometer West 1994 (Trend Investigations)?";"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets hosted by GESIS. Do not invent links; if unsure, omit the item.

USER: Query: Can you find the GESIS dataset titled Election Study 1994: Politbarometer West 1994 (Trend Investigations)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets hosted by GESIS. Only include GESIS-hosted landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find the GESIS dataset titled Election Study 1994: Politbarometer West 1994 (Trend Investigations)?
Return up to 10 items. Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, GESIS URL, landing page, or link in url_or_doi.";"V3_TITLE_ONLY";"";"";"";"";"ZA2546";"Election Study 1994: Politbarometer West 1994 (Trend Investigations)";"[""10.4232/1.2546""]";"https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2546&db=D";"48"
